age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
39,retired,divorced,unknown,no,4848,no,yes,telephone,24,jan,2776,5,-1,10,success,yes
40,admin,divorced,unknown,yes,695,no,yes,cellular,13,apr,3153,2,8,1,success,no
52,management,married,primary,no,809,no,yes,cellular,11,apr,270,2,-1,10,success,no
74,technician,divorced,tertiary,yes,1246,yes,yes,telephone,28,may,2363,3,9,10,other,yes
51,technician,married,primary,yes,2593,yes,yes,cellular,15,feb,203,6,-1,5,other,yes
24,management,divorced,tertiary,yes,1559,yes,no,cellular,14,mar,3657,6,3,4,failure,yes
22,services,single,tertiary,no,4898,yes,yes,telephone,22,may,2828,3,1,7,failure,yes
50,retired,single,secondary,yes,1419,yes,no,telephone,5,jan,211,2,4,4,other,yes
19,technician,divorced,primary,no,3886,no,yes,telephone,22,feb,2482,10,0,1,failure,no
23,admin,divorced,primary,no,3759,no,yes,telephone,3,mar,785,3,6,8,other,no
48,management,divorced,primary,yes,2094,yes,no,telephone,28,may,2336,6,0,2,success,no
41,retired,single,tertiary,yes,3817,yes,yes,cellular,26,jan,158,2,10,7,other,no
45,admin,married,unknown,yes,4879,yes,no,telephone,6,feb,1593,5,5,1,success,yes
55,services,divorced,primary,yes,1515,no,yes,telephone,2,may,1023,10,0,10,other,no
79,services,divorced,tertiary,yes,451,yes,yes,cellular,4,mar,3760,4,8,4,other,yes
75,technician,divorced,secondary,yes,1338,no,yes,telephone,25,may,3201,8,9,1,success,yes
25,admin,single,secondary,no,38,no,yes,cellular,10,may,3165,2,5,2,success,no
39,retired,divorced,primary,yes,3511,yes,yes,telephone,4,apr,3818,2,7,0,other,no
39,technician,divorced,tertiary,yes,4133,no,no,cellular,1,mar,1750,2,1,9,success,no
36,management,married,tertiary,no,2338,yes,no,telephone,13,may,4510,5,-1,9,success,yes
